CITY,DISTRICT,GEOCODE,DAY,TIME,T,TD,RH,WD,WS,BF,AT,Wx,Wx_n,PoP6h,PoP12h,get_day
臺北市,大安區,6300300,2021-02-20,15:00:00,23,7,35,東南風,2,2,23,晴,01,0,0,2021-02-20
臺北市,大安區,6300300,2021-02-20,18:00:00,19,10,56,東南風,3,2,18,晴,01,0,0,2021-02-20
臺北市,大安區,6300300,2021-02-20,21:00:00,17,13,76,東南風,3,2,16,晴,01,0,0,2021-02-20
臺北市,大安區,6300300,2021-02-21,00:00:00,16,11,74,東南風,2,<= 1,15,晴,01,0,0,2021-02-20
臺北市,大安區,6300300,2021-02-21,03:00:00,15,10,71,偏北風,1,<= 1,14,晴,01,0,0,2021-02-20
臺北市,大安區,6300300,2021-02-21,06:00:00,14,10,79,偏北風,1,<= 1,13,晴,01,0,0,2021-02-20
臺北市,大安區,6300300,2021-02-21,09:00:00,17,11,69,西北風,2,2,17,晴,01,0,0,2021-02-20
臺北市,大安區,6300300,2021-02-21,12:00:00,24,11,45,偏北風,0,<= 1,24,晴,01,0,0,2021-02-20
臺北市,大安區,6300300,2021-02-21,15:00:00,24,13,49,偏西風,3,2,25,晴,01,0,0,2021-02-20
臺北市,大安區,6300300,2021-02-21,18:00:00,20,12,61,偏西風,1,<= 1,20,晴,01,0,0,2021-02-20
臺北市,大安區,6300300,2021-02-21,21:00:00,18,14,74,西南風,1,<= 1,19,晴,01,0,0,2021-02-20
臺北市,大安區,6300300,2021-02-22,00:00:00,18,14,79,偏東風,1,<= 1,18,晴,01,0,0,2021-02-20
臺北市,大安區,6300300,2021-02-22,03:00:00,16,12,77,偏東風,2,2,17,晴,01,0,0,2021-02-20
臺北市,大安區,6300300,2021-02-22,06:00:00,15,9,68,偏東風,2,2,14,晴,01,0,0,2021-02-20
臺北市,大安區,6300300,2021-02-22,09:00:00,19,8,50,西北風,2,<= 1,17,晴,01,0,0,2021-02-20
臺北市,大安區,6300300,2021-02-22,12:00:00,26,8,32,西北風,1,<= 1,25,晴,01,0,0,2021-02-20
臺北市,大安區,6300300,2021-02-22,15:00:00,26,11,39,東北風,2,2,27,晴,01,0,0,2021-02-20
臺北市,大安區,6300300,2021-02-22,18:00:00,22,15,63,偏東風,3,2,22,晴,01,0,40,2021-02-20
臺北市,大安區,6300300,2021-02-22,21:00:00,20,18,84,偏東風,3,2,21,晴,01,0,40,2021-02-20
臺北市,大安區,6300300,2021-02-23,00:00:00,20,17,84,偏東風,3,2,19,短暫雨,08,40,40,2021-02-20
臺北市,大安區,6300300,2021-02-23,03:00:00,18,16,86,偏東風,4,3,18,短暫雨,08,40,40,2021-02-20
臺北市,中山區,6300400,2021-02-20,06:00:00,12,6,64,東南風,2,<= 1,10,晴,01,0,0,2021-02-20
臺北市,中山區,6300400,2021-02-20,09:00:00,16,5,49,偏東風,2,<= 1,14,晴,01,0,0,2021-02-20
臺北市,中山區,6300400,2021-02-20,12:00:00,23,7,37,東北風,1,<= 1,22,晴,01,0,0,2021-02-20
臺北市,中山區,6300400,2021-02-20,15:00:00,23,8,38,偏東風,2,2,23,晴,01,0,0,2021-02-20
臺北市,中山區,6300400,2021-02-20,18:00:00,19,11,58,偏東風,3,2,18,晴,01,0,0,2021-02-20
臺北市,中山區,6300400,2021-02-20,21:00:00,18,13,72,偏東風,3,2,17,晴,01,0,0,2021-02-20
臺北市,中山區,6300400,2021-02-21,00:00:00,17,11,69,東南風,2,<= 1,16,晴,01,0,0,2021-02-20
臺北市,中山區,6300400,2021-02-21,03:00:00,16,11,70,東北風,1,<= 1,16,晴,01,0,0,2021-02-20
臺北市,中山區,6300400,2021-02-21,06:00:00,15,11,77,偏北風,1,<= 1,15,晴,01,0,0,2021-02-20
臺北市,中山區,6300400,2021-02-21,09:00:00,18,12,68,西北風,1,<= 1,18,晴,01,0,0,2021-02-20
臺北市,中山區,6300400,2021-02-21,12:00:00,24,12,47,西北風,1,<= 1,24,晴,01,0,0,2021-02-20
臺北市,中山區,6300400,2021-02-21,15:00:00,24,13,50,偏西風,2,<= 1,25,晴,01,0,0,2021-02-20
臺北市,中山區,6300400,2021-02-21,18:00:00,20,13,62,偏西風,1,<= 1,21,晴,01,0,0,2021-02-20
臺北市,中山區,6300400,2021-02-21,21:00:00,19,14,74,西北風,1,<= 1,20,晴,01,0,0,2021-02-20
臺北市,中山區,6300400,2021-02-22,00:00:00,18,14,76,偏東風,2,<= 1,19,晴,01,0,0,2021-02-20
臺北市,中山區,6300400,2021-02-22,03:00:00,18,13,76,偏東風,3,2,18,晴,01,0,0,2021-02-20
臺北市,中山區,6300400,2021-02-22,06:00:00,16,10,68,偏東風,2,2,15,晴,01,0,0,2021-02-20
臺北市,中山區,6300400,2021-02-22,09:00:00,19,9,50,偏西風,2,<= 1,18,晴,01,0,0,2021-02-20
臺北市,中山區,6300400,2021-02-22,12:00:00,26,8,32,西北風,1,<= 1,25,晴,01,0,0,2021-02-20
臺北市,中山區,6300400,2021-02-22,15:00:00,26,11,41,東北風,2,2,26,晴,01,0,0,2021-02-20
臺北市,中山區,6300400,2021-02-22,18:00:00,22,15,64,偏東風,3,2,22,晴,01,0,40,2021-02-20
臺北市,中山區,6300400,2021-02-22,21:00:00,21,17,78,偏東風,3,2,21,晴,01,0,40,2021-02-20
臺北市,中山區,6300400,2021-02-23,00:00:00,20,16,79,偏東風,4,3,20,短暫雨,08,40,40,2021-02-20
臺北市,中山區,6300400,2021-02-23,03:00:00,19,16,80,偏東風,4,3,18,短暫雨,08,40,40,2021-02-20
臺北市,中正區,6300500,2021-02-20,06:00:00,10,4,62,偏南風,2,<= 1,8,晴,01,0,0,2021-02-20
臺北市,中正區,6300500,2021-02-20,09:00:00,14,4,48,東北風,2,<= 1,13,晴,01,0,0,2021-02-20
臺北市,中正區,6300500,2021-02-20,12:00:00,23,6,33,東北風,1,<= 1,22,晴,01,0,0,2021-02-20
